Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,192284207,2466.908863689162,3533643,45.33484769143393,483475,4136518,53.06942820847353,68246,0.8755615707499608,8366,
United States of America,Americas,33875385,10234.17,231856,70.05,0,604546,182.64,1376,0.42,0
India,South-East Asia,31293062,2267.61,266233,19.29,35342,419470,30.4,6939,0.5,483
Brazil,Americas,19473954,9161.65,264225,124.31,54517,545604,256.68,8210,3.86,1424
Russian Federation,Europe,6078522,4165.24,170523,116.85,23811,152296,104.36,5428,3.72,795
France,Europe,5813457,8938.37,95742,147.21,21769,110566,170,104,0.16,10
The United Kingdom,Europe,5602325,8252.55,321223,473.18,39315,128980,189.99,387,0.57,84
Turkey,Europe,5563903,6597.06,56448,66.93,9586,50761,60.19,346,0.41,52
Argentina,Americas,4798851,10617.92,96194,212.84,14632,102818,227.49,2568,5.68,437
Colombia,Americas,4679994,9197.58,114622,225.27,11244,117482,230.89,3145,6.18,351
Italy,Europe,4302393,7213.76,24074,40.36,5056,127920,214.48,80,0.13,15
Spain,Europe,4249258,8977.44,155222,327.94,17218,81194,171.54,76,0.16,3
Germany,Europe,3752592,4512.13,10811,13,2089,91492,110.01,155,0.19,34
Iran (Islamic Republic of),Eastern Mediterranean,3623840,4314.46,159785,190.24,20313,88063,104.85,1471,1.75,226
Indonesia,South-East Asia,3082410,1126.93,301607,110.27,49071,80598,29.47,9201,3.36,1566
Poland,Europe,2881948,7592.44,707,1.86,108,75235,198.21,30,0.08,4
Mexico,Americas,2693495,2089.07,76668,59.46,15198,237207,183.98,1700,1.32,397
South Africa,Africa,2342330,3949.39,89090,150.21,14858,68625,115.71,2653,4.47,433
Ukraine,Europe,2247419,5138.87,3814,8.72,763,52811,120.76,109,0.25,21
Peru,Americas,2097811,6362.43,11928,36.18,1798,195429,592.71,677,2.05,97
Netherlands,Europe,1827273,10496.99,61457,353.05,6301,17789,102.19,16,0.09,3
Czechia,Europe,1672140,15636.33,1557,14.56,207,30347,283.78,12,0.11,0
Chile,Americas,1604713,8394.52,10217,53.45,1859,34792,182,585,3.06,181
Philippines,Western Pacific,1530266,1396.47,39614,36.15,5828,26891,24.54,577,0.53,17
Iraq,Eastern Mediterranean,1526943,3796.24,60414,150.2,8106,18101,45,394,0.98,81
Canada,Americas,1424715,3774.86,2884,7.64,495,26512,70.25,54,0.14,4
Bangladesh,South-East Asia,1146564,696.2,62642,38.04,6364,18851,11.45,1386,0.84,166
Belgium,Europe,1112161,9652.13,7896,68.53,1,25217,218.85,8,0.07,2
Sweden,Europe,1096341,10615.65,2434,23.57,582,14651,141.86,0,0,0
Romania,Europe,1082057,5598.15,518,2.68,104,34266,177.28,12,0.06,1
Pakistan,Eastern Mediterranean,998609,452.08,17402,7.88,2158,22928,10.38,239,0.11,40
Malaysia,Western Pacific,964918,2981.27,84136,259.95,13034,7574,23.4,961,2.97,134
Portugal,Europe,943244,9161.35,23044,223.82,3622,17248,167.52,61,0.59,16
Japan,Western Pacific,857799,678.23,26606,21.04,5282,15106,11.94,92,0.07,9
Israel,Europe,857554,9907.57,7040,81.34,365,6457,74.6,12,0.14,0
Hungary,Europe,809101,8281.89,376,3.85,85,30020,307.28,5,0.05,0
Jordan,Eastern Mediterranean,762706,7475.21,3020,29.6,0,9922,97.24,50,0.49,0
Serbia,Europe,719462,10386.79,1369,19.76,228,7095,102.43,17,0.25,3
Switzerland,Europe,708703,8188.73,3636,42.01,5,10329,119.35,1,0.01,0
Nepal,South-East Asia,676708,2322.52,12132,41.64,1982,9679,33.22,173,0.59,18
United Arab Emirates,Eastern Mediterranean,667080,6744.72,10726,108.45,1547,1910,19.31,25,0.25,3
Austria,Europe,650776,7311.22,2529,28.41,421,10523,118.22,1,0.01,0
Kazakhstan,Europe,568915,3029.9,27022,143.91,0,8538,45.47,365,1.94,0
Morocco,Eastern Mediterranean,566356,1534.4,16512,44.74,0,9498,25.73,80,0.22,0
Tunisia,Eastern Mediterranean,555997,4704.42,29510,249.69,0,17913,151.57,904,7.65,0
Lebanon,Eastern Mediterranean,552328,8092.19,2901,42.5,0,7888,115.57,6,0.09,0
Saudi Arabia,Eastern Mediterranean,514446,1477.7,8321,23.9,1162,8130,23.35,95,0.27,15
Ecuador,Americas,478615,2712.77,5893,33.4,0,30752,174.3,8880,50.33,0
Greece,Europe,469042,4375.98,18530,172.88,2601,12875,120.12,56,0.52,5
Thailand,South-East Asia,467707,670.07,85800,122.92,14575,3811,5.46,712,1.02,114
Bolivia (Plurinational State of),Americas,465351,3986.55,7139,61.16,1174,17546,150.31,201,1.72,41
Paraguay,Americas,447146,6269.1,6090,85.38,879,14446,202.54,380,5.33,52
Belarus,Europe,437664,4631.7,6552,69.34,1069,3365,35.61,68,0.72,10
Panama,Americas,425599,9863.78,6995,162.12,1144,6723,155.81,62,1.44,7
Bulgaria,Europe,423440,6091.36,643,9.25,121,18189,261.66,26,0.37,2
Georgia,Europe,398081,9979.03,13694,343.28,2460,5656,141.78,140,3.51,20
Costa Rica,Americas,395667,7767.13,8945,175.59,1532,4925,96.68,83,1.63,10
Slovakia,Europe,392259,7187.03,225,4.12,40,12534,229.65,10,0.18,0
Kuwait,Eastern Mediterranean,388881,9106.07,6797,159.16,0,2255,52.8,81,1.9,0
Uruguay,Americas,379613,10928.11,1909,54.96,237,5905,169.99,51,1.47,9
Croatia,Europe,362305,8927.8,956,23.56,176,8245,203.17,11,0.27,0
occupied Palestinian territory, including east Jerusalem,Eastern Mediterranean,344717,6757.28,372,7.29,0,3859,75.65,6,0.12,0
Guatemala,Americas,344221,1921.35,16466,91.91,3364,10029,55.98,195,1.09,13
Azerbaijan,Europe,339274,3346.17,1473,14.53,212,4999,49.3,9,0.09,1
Dominican Republic,Americas,338902,3124.12,2758,25.42,611,3931,36.24,24,0.22,2
Denmark,Europe,309420,5313.97,5951,102.2,805,2542,43.66,2,0.03,0
Cuba,Americas,308599,2724.55,45513,401.82,7745,2137,18.87,411,3.63,65
Venezuela (Bolivarian Republic of),Americas,295746,1040.04,7647,26.89,1019,3426,12.05,99,0.35,18
Sri Lanka,South-East Asia,291298,1360.36,9238,43.14,0,3902,18.22,257,1.2,0
Ireland,Europe,289139,5824.2,8355,168.3,1188,5026,101.24,8,0.16,0
Oman,Eastern Mediterranean,289042,5660.14,0,0,0,3498,68.5,0,0,0
Honduras,Americas,284187,2869.24,7198,72.67,1501,7535,76.08,179,1.81,28
Egypt,Eastern Mediterranean,283862,277.39,372,0.36,0,16465,16.09,40,0.04,0
Lithuania,Europe,280541,10040.51,969,34.68,245,4409,157.8,5,0.18,1
Ethiopia,Africa,278105,241.91,662,0.58,146,4363,3.8,13,0.01,3
Bahrain,Eastern Mediterranean,268092,15755.52,473,27.8,0,1381,81.16,2,0.12,0
Myanmar,South-East Asia,258870,475.78,40131,73.76,5506,6459,11.87,1923,3.53,326
Slovenia,Europe,258467,12332.26,421,20.09,69,4761,227.16,0,0,0
Republic of Moldova,Europe,258365,6404.74,599,14.85,128,6236,154.59,17,0.42,4
Armenia,Europe,228382,7707.19,1271,42.89,221,4579,154.53,21,0.71,4
Libya,Eastern Mediterranean,227433,3309.9,12865,187.23,732,3322,48.35,73,1.06,13
Qatar,Eastern Mediterranean,224834,7803.88,923,32.04,196,600,20.83,1,0.03,0
Bosnia and Herzegovina,Europe,205384,6260.15,117,3.57,39,9673,294.84,8,0.24,2
Kenya,Africa,195111,362.85,4091,7.61,801,3826,7.12,80,0.15,15
Zambia,Africa,189731,1032.05,7602,41.35,1158,3196,17.38,205,1.12,34
Republic of Korea,Western Pacific,185733,362.27,10687,20.84,1630,2066,4.03,15,0.03,3
Nigeria,Africa,170306,82.62,1232,0.6,184,2130,1.03,4,0,0
Algeria,Africa,158213,360.8,8307,18.94,1208,4008,9.14,113,0.26,14
North Macedonia,Europe,155981,7486.92,115,5.52,16,5489,263.47,2,0.1,1
Kyrgyzstan,Europe,155005,2375.85,8713,133.55,1127,2227,34.13,73,1.12,10
Mongolia,Western Pacific,152539,4653.01,9411,287.07,0,755,23.03,48,1.46,0
Afghanistan,Eastern Mediterranean,143439,368.47,4388,11.27,256,6357,16.33,285,0.73,32
Puerto Rico,Americas,142359,4976.1,1259,44.01,180,2566,89.69,7,0.24,1
Latvia,Europe,138344,7251.97,303,15.88,44,2549,133.62,8,0.42,0
Norway,Europe,135234,2519.46,1358,25.3,265,799,14.89,3,0.06,0
Albania,Europe,132797,4614.53,168,5.84,34,2456,85.34,0,0,0
Estonia,Europe,132262,9952.17,519,39.05,83,1271,95.64,0,0,0
Uzbekistan,Europe,122786,366.86,4406,13.16,738,819,2.45,30,0.09,5
China,Western Pacific,120000,8.16,461,0.03,82,5630,0.38,23,0,4
Namibia,Africa,114400,4502.33,5044,198.51,495,2665,104.88,395,15.55,45
Kosovo[1],Europe,107911,6009.53,71,3.95,28,2255,125.58,1,0.06,0
Mozambique,Africa,105866,338.71,11133,35.62,2153,1221,3.91,164,0.52,31
Finland,Europe,102042,1846.82,2450,44.34,412,978,17.7,0,0,0
Montenegro,Europe,100854,16057.97,243,38.69,0,1624,258.57,3,0.48,0
Ghana,Africa,100250,322.63,2136,6.87,276,819,2.64,13,0.04,1
Botswana,Africa,97657,4152.74,11524,490.04,5755,1375,58.47,101,4.29,47
Cyprus,Europe,95307,10732.71,6850,771.39,1046,398,44.82,15,1.69,4
Zimbabwe,Africa,93421,628.55,14549,97.89,2301,2870,19.31,452,3.04,61
Uganda,Africa,91355,199.72,2275,4.97,193,2483,5.43,234,0.51,58
El Salvador,Americas,84144,1297.28,1781,27.46,1292,2529,38.99,59,0.91,10
Cameroon,Africa,81871,308.41,404,1.52,0,1332,5.02,2,0.01,0
Viet Nam,Western Pacific,78269,80.41,35981,36.96,7125,370,0.38,163,0.17,0
Maldives,South-East Asia,76454,14143.9,718,132.83,0,218,40.33,2,0.37,0
Luxembourg,Europe,73309,11708.68,677,108.13,94,821,131.13,2,0.32,0
Cambodia,Western Pacific,70419,421.19,5808,34.74,811,1188,7.11,163,0.97,20
Singapore,Western Pacific,63791,1090.38,939,16.05,170,36,0.62,0,0,0
Rwanda,Africa,61375,473.86,9750,75.28,1309,704,5.44,88,0.68,11
Senegal,Africa,54820,327.4,6550,39.12,523,1256,7.5,47,0.28,10
Jamaica,Americas,51542,1740.6,629,21.24,138,1167,39.41,31,1.05,4
Côte d’Ivoire,Africa,49386,187.22,387,1.47,98,324,1.23,5,0.02,2
Democratic Republic of the Congo,Africa,47174,52.67,1963,2.19,308,1021,1.14,37,0.04,1
Malawi,Africa,46417,242.64,4919,25.71,952,1410,7.37,109,0.57,21
Madagascar,Africa,42631,153.95,114,0.41,3,941,3.4,5,0.02,0
Angola,Africa,41405,125.98,875,2.66,178,977,2.97,26,0.08,4
Sudan,Eastern Mediterranean,37138,84.69,0,0,0,2776,6.33,0,0,0
Trinidad and Tobago,Americas,36626,2617.1,1390,99.32,272,1003,71.67,40,2.86,3
Réunion,Africa,34615,3866.25,1320,147.43,0,266,29.71,10,1.12,0
Cabo Verde,Africa,33452,6016.69,272,48.92,57,297,53.42,3,0.54,0
Malta,Europe,33198,6451.68,1364,265.08,166,420,81.62,0,0,0
Australia,Western Pacific,32427,127.17,911,3.57,159,915,3.59,3,0.01,0
French Guiana,Americas,29419,9849.61,705,236.04,134,170,56.92,7,2.34,1
Syrian Arab Republic,Eastern Mediterranean,25849,147.7,35,0.2,0,1905,10.89,3,0.02,0
Gabon,Africa,25309,1137.11,64,2.88,0,163,7.32,1,0.04,0
Guinea,Africa,24823,189.02,438,3.34,13,195,1.48,10,0.08,0
Suriname,Americas,24490,4174.68,774,131.94,55,625,106.54,28,4.77,5
Mauritania,Africa,23223,499.46,1036,22.28,130,517,11.12,14,0.3,1
Eswatini,Africa,21880,1885.94,1187,102.31,144,735,63.35,37,3.19,5
Guyana,Americas,21733,2763.07,510,64.84,65,515,65.48,12,1.53,1
Fiji,Western Pacific,21361,2382.86,7475,833.85,918,161,17.96,87,9.71,15
Haiti,Americas,19762,173.31,135,1.18,0,523,4.59,11,0.1,0
Mayotte,Africa,19465,7134.87,14,5.13,5,174,63.78,0,0,0
French Polynesia,Western Pacific,19234,6847.08,176,62.65,39,145,51.62,1,0.36,1
Guadeloupe,Americas,17982,4494.11,173,43.24,0,278,69.48,4,1,0
Seychelles,Africa,17541,17835.83,307,312.16,0,79,80.33,11,11.18,0
Papua New Guinea,Western Pacific,17524,195.86,99,1.11,0,192,2.15,6,0.07,0
Somalia,Eastern Mediterranean,15162,95.4,77,0.48,0,781,4.91,0,0,0
Martinique,Americas,14964,3987.58,2157,574.79,0,102,27.18,4,1.07,0
Togo,Africa,14801,178.78,375,4.53,0,140,1.69,6,0.07,0
Tajikistan,Europe,14761,154.77,316,3.31,0,117,1.23,6,0.06,0
Mali,Africa,14528,71.74,31,0.15,3,530,2.62,1,0,0
Andorra,Europe,14464,18719.99,225,291.21,85,127,164.37,0,0,0
Belize,Americas,13865,3486.93,252,63.38,49,332,83.5,1,0.25,0
Bahamas,Americas,13781,3504.44,446,113.42,0,274,69.68,13,3.31,0
Burkina Faso,Africa,13537,64.76,7,0.03,0,169,0.81,0,0,0
Congo,Africa,13117,237.71,184,3.33,0,176,3.19,4,0.07,0
Curaçao,Americas,12962,7899.18,509,310.19,79,126,76.79,0,0,0
Lesotho,Africa,12679,591.85,526,24.55,49,357,16.66,19,0.89,8
Djibouti,Eastern Mediterranean,11628,1176.92,6,0.61,0,155,15.69,0,0,0
Aruba,Americas,11271,10556.73,86,80.55,15,109,102.09,1,0.94,0
South Sudan,Africa,10917,97.53,0,0,0,117,1.05,0,0,0
Timor-Leste,South-East Asia,10281,779.78,232,17.6,54,26,1.97,0,0,0
Equatorial Guinea,Africa,8848,630.66,20,1.43,0,123,8.77,0,0,0
Benin,Africa,8324,68.66,80,0.66,80,107,0.88,0,0,0
Guam,Western Pacific,8231,4876.91,26,15.41,14,143,84.73,1,0.59,0
Nicaragua,Americas,7313,110.39,269,4.06,0,194,2.93,1,0.02,0
Gambia,Africa,7161,296.32,551,22.8,0,197,8.15,9,0.37,0
Central African Republic,Africa,7147,147.98,5,0.1,0,98,2.03,0,0,0
Jersey,Europe,7077,6565.18,1837,1704.14,215,69,64.01,0,0,0
Yemen,Eastern Mediterranean,6997,23.46,30,0.1,0,1371,4.6,5,0.02,0
Iceland,Europe,6967,1913.31,249,68.38,0,30,8.24,0,0,0
Eritrea,Africa,6480,182.72,98,2.76,7,32,0.9,2,0.06,0
Sierra Leone,Africa,6206,77.8,84,1.05,5,117,1.47,4,0.05,1
Burundi,Africa,6128,51.54,326,2.74,110,8,0.07,0,0,0
Niger,Africa,5594,23.11,39,0.16,0,195,0.81,1,0,1
Saint Lucia,Americas,5496,2993.02,57,31.04,12,87,47.38,0,0,0
Liberia,Africa,5404,106.85,98,1.94,0,148,2.93,0,0,0
San Marino,Europe,5107,15048.03,13,38.31,0,90,265.19,0,0,0
Chad,Africa,4965,30.23,6,0.04,0,174,1.06,0,0,0
Gibraltar,Europe,4704,13962.19,218,647.06,33,94,279.01,0,0,0
Barbados,Americas,4302,1497,89,30.97,10,48,16.7,0,0,0
United States Virgin Islands,Americas,4286,4104.38,167,159.92,37,33,31.6,1,0.96,0
Lao People's Democratic Republic,Western Pacific,4119,56.61,1027,14.12,256,5,0.07,1,0.01,0
Guinea-Bissau,Africa,4117,209.2,119,6.05,9,74,3.76,4,0.2,0
Comoros,Africa,4014,461.59,-58,-6.67,3,147,16.9,1,0.11,0
Mauritius,Africa,3388,266.4,1024,80.52,207,19,1.49,1,0.08,0
Liechtenstein,Europe,3174,8191.6,13,33.55,0,58,149.69,0,0,0
Isle of Man,Europe,2821,3317.57,1072,1260.7,182,29,34.1,0,0,0
Monaco,Europe,2744,6992.15,89,226.79,16,33,84.09,0,0,0
Sint Maarten,Americas,2695,6284.69,39,90.95,8,34,79.29,0,0,0
Bermuda,Americas,2535,4070.79,8,12.85,0,33,52.99,0,0,0
Saint Martin,Americas,2523,6526.29,51,131.92,0,30,77.6,0,0,0
New Zealand,Western Pacific,2499,51.82,53,1.1,20,26,0.54,0,0,0
Bhutan,South-East Asia,2470,320.11,72,9.33,12,2,0.26,0,0,0
Turks and Caicos Islands,Americas,2459,6351.05,15,38.74,1,18,46.49,0,0,0
Sao Tome and Principe,Africa,2417,1102.85,17,7.76,0,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2266,2042.55,8,7.21,3,12,10.82,0,0,0
British Virgin Islands,Americas,2210,7308.93,279,922.71,0,23,76.07,19,62.84,0
Bonaire,Americas,1661,7941.67,25,119.53,2,17,81.28,0,0,0
Antigua and Barbuda,Americas,1277,1304.01,10,10.21,2,42,42.89,0,0,0
Saint Barthélemy,Americas,1057,10692.97,5,50.58,0,1,10.12,0,0,0
Faroe Islands,Europe,958,1960.5,44,90.04,0,1,2.05,0,0,0
Guernsey,Europe,908,1408.45,47,72.9,4,17,26.37,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,629,957.09,9,13.69,2,2,3.04,0,0,0
United Republic of Tanzania,Africa,609,1.02,100,0.17,100,21,0.04,0,0,0
Saint Kitts and Nevis,Americas,557,1047.15,13,24.44,0,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,311,71.09,29,6.63,2,3,0.69,0,0,0
Dominica,Americas,209,290.31,10,13.89,3,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,188,326.63,1,1.74,0,2,3.47,0,0,0
Grenada,Americas,165,146.64,2,1.78,0,1,0.89,0,0,0
New Caledonia,Western Pacific,131,45.88,2,0.7,0,0,0,0,0,0
Anguilla,Americas,113,753.23,2,13.33,0,0,0,0,0,0
Greenland,Europe,85,149.72,19,33.47,1,0,0,0,0,0
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,28,483.18,2,34.51,1,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
